epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.731,1.3172,1.99548,1.2169,0.83889,0.75592,0.86087,0.47012,1.52601,1.55854,1.33486,0.000554699,0.000554699,0.000554699
2,220.408,1.17764,1.18136,1.14316,0.7238,0.67338,0.78858,0.47932,1.32249,1.24649,1.23408,0.00109937,0.00109937,0.00109937
3,329.531,1.10706,0.88562,1.11324,0.82358,0.7982,0.87478,0.55512,1.21839,0.8945,1.16585,0.00163304,0.00163304,0.00163304
4,437.539,1.0289,0.75186,1.0749,0.82513,0.77126,0.8262,0.5112,1.19738,0.88967,1.1583,0.00161749,0.00161749,0.00161749
5,543.557,0.96694,0.64614,1.04395,0.86657,0.79608,0.87502,0.53966,1.2459,0.82832,1.20979,0.00160099,0.00160099,0.00160099
6,650.215,0.87439,0.56469,0.99955,0.85722,0.79565,0.88353,0.58005,1.19055,0.74966,1.17047,0.00158448,0.00158448,0.00158448
7,758.481,0.83457,0.52928,0.97827,0.82918,0.83661,0.90199,0.59199,1.2369,0.71683,1.21153,0.00156798,0.00156798,0.00156798
8,864.442,0.77996,0.48621,0.95215,0.90216,0.81339,0.89707,0.5904,1.18248,0.68165,1.17304,0.00155148,0.00155148,0.00155148
9,971.012,0.75162,0.46068,0.94089,0.87054,0.83758,0.90694,0.61062,1.13429,0.68164,1.16995,0.00153497,0.00153497,0.00153497
10,1077.13,0.69277,0.43315,0.9163,0.82765,0.78425,0.87906,0.57314,1.21036,0.75697,1.21735,0.00151847,0.00151847,0.00151847
11,1182.96,0.66329,0.41886,0.90447,0.87445,0.80892,0.90166,0.59938,1.19584,0.68424,1.20302,0.00150197,0.00150197,0.00150197
12,1287.32,0.62082,0.39445,0.88785,0.86157,0.82196,0.89359,0.59699,1.16901,0.70301,1.21428,0.00148546,0.00148546,0.00148546
13,1390.47,0.59363,0.3749,0.87921,0.86089,0.80614,0.88764,0.59683,1.16285,0.69469,1.20324,0.00146896,0.00146896,0.00146896
14,1495.15,0.56997,0.36548,0.86704,0.89136,0.82196,0.90046,0.5783,1.2277,0.68292,1.24489,0.00145246,0.00145246,0.00145246
15,1598.29,0.5336,0.34681,0.85413,0.87089,0.79694,0.88382,0.59472,1.17975,0.69359,1.21455,0.00143595,0.00143595,0.00143595
16,1701.86,0.51478,0.33375,0.84931,0.90016,0.83009,0.90709,0.60044,1.20719,0.68302,1.24594,0.00141945,0.00141945,0.00141945
17,1805.34,0.50312,0.32904,0.84412,0.8749,0.76808,0.87746,0.58903,1.18352,0.74307,1.22334,0.00140295,0.00140295,0.00140295
18,1908.7,0.478,0.32374,0.83608,0.89662,0.83385,0.90237,0.58922,1.20951,0.70065,1.2599,0.00138644,0.00138644,0.00138644
19,2012.32,0.46738,0.31766,0.83386,0.91701,0.82071,0.91055,0.61264,1.17912,0.64169,1.24541,0.00136994,0.00136994,0.00136994
20,2117.72,0.44409,0.30234,0.82696,0.83954,0.82598,0.88744,0.60161,1.16872,0.69616,1.25151,0.00135344,0.00135344,0.00135344
21,2220.74,0.43419,0.29584,0.82224,0.86001,0.82736,0.89762,0.61308,1.18525,0.69382,1.25695,0.00133693,0.00133693,0.00133693
22,2324.27,0.4214,0.28798,0.81838,0.87662,0.79999,0.89181,0.60641,1.18145,0.70945,1.26314,0.00132043,0.00132043,0.00132043
23,2427.31,0.40254,0.27882,0.81259,0.89286,0.79853,0.88904,0.61628,1.17001,0.67359,1.26896,0.00130393,0.00130393,0.00130393
24,2532.53,0.39516,0.27496,0.81158,0.86617,0.78633,0.88768,0.61053,1.16274,0.73151,1.26351,0.00128742,0.00128742,0.00128742
25,2635.52,0.38382,0.2667,0.809,0.85913,0.83371,0.89725,0.62495,1.15035,0.71203,1.2401,0.00127092,0.00127092,0.00127092
26,2738.6,0.36508,0.25966,0.80337,0.84822,0.82698,0.88684,0.61342,1.18314,0.73645,1.28586,0.00125442,0.00125442,0.00125442
27,2841.32,0.36213,0.25681,0.80266,0.8425,0.82637,0.8887,0.6156,1.16736,0.73668,1.27026,0.00123791,0.00123791,0.00123791
28,2944.39,0.35527,0.25183,0.79965,0.86987,0.82811,0.88831,0.61962,1.14421,0.71607,1.25626,0.00122141,0.00122141,0.00122141
29,3047.55,0.34612,0.24847,0.79865,0.8689,0.7948,0.87994,0.60655,1.18156,0.74755,1.29133,0.00120491,0.00120491,0.00120491
30,3150.62,0.3368,0.24293,0.7969,0.86914,0.79452,0.88618,0.61977,1.16704,0.73625,1.29624,0.0011884,0.0011884,0.0011884
31,3253.39,0.33161,0.24078,0.79376,0.84508,0.79927,0.88537,0.61219,1.14121,0.77094,1.24882,0.0011719,0.0011719,0.0011719
32,3356.57,0.31518,0.23046,0.79028,0.82345,0.81001,0.88716,0.61791,1.15792,0.73257,1.28594,0.0011554,0.0011554,0.0011554
33,3459.62,0.30423,0.22608,0.78733,0.84833,0.80702,0.89109,0.61202,1.16729,0.73515,1.29642,0.00113889,0.00113889,0.00113889
34,3562.41,0.30827,0.22573,0.78908,0.8389,0.82697,0.88642,0.61851,1.14749,0.72964,1.27989,0.00112239,0.00112239,0.00112239
35,3667.36,0.29429,0.21942,0.78518,0.85779,0.83088,0.89492,0.62158,1.1787,0.72175,1.30592,0.00110589,0.00110589,0.00110589
36,3770.44,0.29233,0.21706,0.78492,0.88432,0.83857,0.90077,0.61991,1.16714,0.67878,1.29908,0.00108938,0.00108938,0.00108938
37,3873.1,0.2855,0.21297,0.78498,0.85543,0.82969,0.8994,0.62415,1.1503,0.70888,1.29286,0.00107288,0.00107288,0.00107288
38,3979.79,0.27961,0.21036,0.78284,0.8341,0.84525,0.89033,0.61234,1.16707,0.72099,1.30088,0.00105638,0.00105638,0.00105638
39,4084.41,0.27185,0.20518,0.7813,0.8706,0.83114,0.90015,0.61679,1.16742,0.70562,1.3054,0.00103987,0.00103987,0.00103987
40,4190.13,0.26773,0.20172,0.78019,0.8691,0.79838,0.89323,0.61631,1.15784,0.72449,1.28992,0.00102337,0.00102337,0.00102337
41,4296.97,0.26033,0.19733,0.77881,0.86406,0.82007,0.89499,0.6162,1.17086,0.70152,1.31763,0.00100687,0.00100687,0.00100687
42,4404.67,0.25398,0.19547,0.7777,0.87044,0.79599,0.88418,0.62104,1.14743,0.71809,1.30458,0.000990365,0.000990365,0.000990365
43,4511.62,0.25102,0.19359,0.7767,0.84362,0.83062,0.89373,0.62125,1.15429,0.73787,1.29837,0.000973861,0.000973861,0.000973861
44,4616.67,0.2464,0.18921,0.77641,0.87195,0.8297,0.89575,0.62403,1.13086,0.70819,1.27513,0.000957358,0.000957358,0.000957358
45,4721.35,0.24582,0.18685,0.77614,0.83022,0.85348,0.89473,0.62533,1.15302,0.71639,1.30384,0.000940855,0.000940855,0.000940855
46,4825.69,0.23505,0.18199,0.77465,0.87745,0.81226,0.89811,0.6219,1.14113,0.70903,1.29466,0.000924352,0.000924352,0.000924352
